c FILE			: graph.txt
c No. of vertices	: 5000
c No. of directed edges	: 50000
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 5000 50000
a 1 705 21
a 1 196 33
a 1 313 25
a 1 489 29
a 1 318 44
a 1 4072 66
a 1 12 59
a 1 181 10
a 1 363 49
a 1 196 95
a 1 3 58
a 1 791 23
a 1 30 9
a 1 2591 16
a 1 2540 15
a 1 2503 54
a 1 1681 76
a 1 783 27
a 1 483 41
a 1 2395 59
a 1 2702 94
a 1 825 99
a 1 2525 79
a 1 1489 20
a 1 2034 22
a 1 1934 97
a 1 1254 11
a 1 40 25
a 1 4970 70
a 1 1290 79
a 1 2698 51
a 1 1252 43
a 1 1915 11
a 1 1578 61
a 1 1252 3
a 1 665 25
a 1 98 33
a 1 3907 27
a 1 419 18
a 1 315 15
a 1 3126 1
a 1 41 88
a 1 238 25
a 1 2501 93
a 1 118 64
a 1 2078 28
a 1 49 14
a 1 45 6
a 1 725 38
a 1 317 5
a 1 1568 5
a 1 274 7
a 1 2758 62
a 1 3132 12
a 1 2592 65
a 1 356 8
a 1 1669 41
a 1 983 6
a 1 626 48
a 1 347 53
a 1 497 88
a 1 241 95
a 1 3955 89
a 1 1372 47
a 1 1643 93
a 1 1418 63
a 1 50 0
a 1 3555 0
a 1 1255 98
a 1 1358 53
a 1 1255 93
a 1 1413 20
a 1 1446 58
a 1 2585 14
a 1 322 95
a 1 1333 51
a 1 2503 98
a 1 704 91
a 1 1907 45
a 1 3282 25
a 1 313 84
a 1 196 71
a 1 560 74
a 1 275 6
a 1 4064 99
a 1 1817 82
a 1 654 77
a 1 1485 39
a 1 2158 20
a 1 3995 13
a 1 2681 68
a 1 313 4
a 1 161 19
a 1 1451 4
a 1 65 21
a 1 948 54
a 1 1254 60
a 1 2657 73
a 1 4054 86
a 1 4410 92
a 1 257 75
a 1 2697 7
a 1 357 53
a 1 570 62
a 1 950 10
a 1 137 79
a 1 397 9
a 1 13 51
a 1 159 1
a 1 2520 32
a 1 196 7
a 1 1878 60
a 1 332 54
a 1 14 69
a 1 147 95
a 1 513 17
a 1 242 18
a 1 2511 42
a 1 98 38
a 1 708 50
a 1 645 71
a 1 22 38
a 1 59 63
a 1 2666 27
a 1 5 78
a 1 20 70
a 1 363 42
a 1 4416 77
a 1 443 90
a 1 1357 95
a 1 1329 63
a 1 548 94
a 1 80 46
a 1 3145 91
a 1 1636 78
a 1 469 86
a 1 1407 29
a 2 6 27
a 2 528 16
a 2 1681 97
a 2 6 81
a 2 6 86
a 2 2603 62
a 2 31 50
a 2 335 41
a 2 317 12
a 2 1878 83
a 2 333 25
a 2 1897 7
a 2 725 17
a 2 61 41
a 2 1564 92
a 2 98 59
a 2 3370 21
a 2 3141 14
a 2 98 11
a 2 670 76
a 2 1254 40
a 2 98 87
a 2 1258 11
a 2 327 39
a 2 961 38
a 2 3478 2
a 2 671 73
a 2 1369 95
a 2 1447 10
